N	TP_NS_P	COD_OBL	HSIZE	TYPE_DOM	H_WORK	AGE_HEAD	SEX_HEAD	CASHINC	TOTALINC	TOTALRES	CONSUM	CASHEXP	TOTALEXP	HOUSE	OWNHOUSE	STOTAL	SLIV	ROOMS	TIMEHOUS	HEATING	HEATIND	RUNWATER	SEVERAGE	HOTWATER	GASKOL	GASCENTR	GASBAL	ELEKTRPL	BATH	HTELEPH	L_EDUC
965	3	12	2	2	1	61	1	4707	6153	6303	4669	5275	6721	3	1	65	53	3	3	2	2	2	2	2	2	2	1	2	2	2	6
966	3	12	1	2	1	60	2	2313	3679	3679	3504	4281	5647	3	1	54	48	3	3	2	2	2	2	2	2	2	1	2	2	2	7
967	3	12	4	1	2	46	1	1463	2854	2854	1564	1854	3245	3	1	63	50	3	2	2	2	2	2	2	2	2	2	2	2	2	7
968	3	12	6	1	3	56	2	6221	8149	9449	6668	7534	9792	3	1	42	29	2	1	2	2	1	2	2	2	2	1	2	2	2	5
969	3	12	2	2	1	61	1	4147	6697	6697	5903	6296	8846	3	1	69	30	2	7	2	1	1	1	2	1	1	2	2	1	2	5
970	3	12	2	2	1	68	1	3004	4400	5200	3555	3615	5010	3	1	126	54	3	5	2	1	1	1	2	2	2	1	2	2	2	5
971	3	12	4	1	2	63	2	6238	8928	8928	4856	5561	8251	3	1	75	32	3	3	2	1	1	1	2	2	1	2	2	1	2	7
972	3	12	2	2	1	74	1	2842	5099	5099	8294	8405	10962	4	1	22	12	1	1	2	2	2	2	2	2	2	2	2	2	2	5
973	3	12	3	2	2	67	1	6368	6968	7568	14430	14657	16257	3	1	41	29	3	4	2	1	1	1	2	1	1	2	2	2	2	4
974	3	12	2	2	1	64	1	4295	6144	6544	7863	8405	10254	3	1	53	17	1	2	2	2	1	2	2	2	2	2	2	2	2	6
975	3	12	2	2	1	77	1	2714	5276	6376	5391	5621	8183	3	1	49	26	2	3	2	1	1	2	2	2	1	2	2	2	1	7
976	3	12	1	2	1	45	2	1720	3508	4208	3428	4079	5868	3	1	49	28	2	2	2	1	1	1	2	2	2	1	2	2	1	4
977	3	12	2	2	1	78	2	2437	4390	4390	2979	3304	5257	3	1	90	80	3	5	2	1	1	1	2	2	2	1	2	2	2	8
978	3	12	3	1	1	41	1	2980	5500	5500	5476	5723	8543	3	1	80	46	3	2	2	1	1	1	2	1	1	2	2	1	2	4
979	3	12	2	2	1	61	1	6944	9298	9298	9712	11827	14181	3	1	101	61	4	5	2	1	1	1	2	1	1	2	2	1	2	1
980	3	12	3	1	1	28	1	4580	6654	7154	8213	8578	11212	3	1	74	70	5	4	2	1	1	1	2	2	1	2	2	2	2	6
981	3	12	1	2	1	69	2	2017	2317	2467	2959	3599	3899	3	1	37	27	2	1	2	1	1	2	2	2	1	2	2	2	2	8
982	3	12	3	1	2	52	1	6561	8160	9060	6294	7173	8772	3	1	54	36	4	4	2	1	1	1	2	1	1	2	2	1	2	5
983	3	12	4	1	3	46	1	6403	9625	9625	6012	6706	10128	3	1	103	66	4	7	2	1	1	1	2	1	1	2	2	1	2	5
984	3	12	2	1	1	30	2	2380	3471	3471	7089	7152	8243	3	1	22	8	1	1	2	2	2	2	2	2	2	2	2	2	2	5
985	3	12	1	2	1	86	2	1534	4637	4637	3388	3706	6809	3	1	48	22	1	1	2	2	2	2	2	2	2	1	2	2	2	9
986	3	12	4	1	2	42	1	9146	11270	12770	8597	14104	16228	3	1	81	55	4	4	2	2	2	2	2	2	2	1	2	2	2	6
987	3	12	3	1	2	50	1	6650	9557	11877	11030	17916	20824	1	1	67	40	3	5	1	2	1	1	2	2	2	1	2	1	2	1
988	3	12	2	1	1	28	2	4838	6564	6564	4390	4822	6548	3	1	108	66	3	6	2	2	2	2	2	2	2	1	2	2	2	5
989	3	12	4	1	1	34	1	9662	12614	12614	4415	10395	13347	3	1	72	46	3	5	2	2	2	2	2	2	2	1	2	2	2	6
990	3	12	5	1	1	48	1	3505	5649	6569	4585	5393	7707	4	1	54	34	2	1	2	2	2	2	2	2	2	1	2	2	2	5
991	3	12	1	2	1	70	2	1663	3224	3524	2197	2648	4209	3	1	55	30	1	4	2	2	2	2	2	2	2	2	2	2	2	9
992	3	12	3	1	1	24	1	5475	7148	7148	4072	7356	9030	3	3	84	53	3	6	2	2	2	2	2	2	2	1	2	2	2	6
993	3	12	1	2	1	64	2	2013	3222	3322	2540	3174	4483	3	1	48	28	2	1	2	2	2	2	2	2	2	1	2	2	2	6
994	3	12	3	1	1	49	2	4738	7218	7218	4008	5185	7666	3	1	84	53	3	6	2	2	2	2	2	2	2	1	2	2	2	5
995	3	12	4	1	1	39	2	5075	10277	10777	11668	13032	18234	3	1	54	20	1	1	2	2	2	2	2	2	2	1	2	2	2	6
996	3	12	2	2	1	61	1	3502	6451	6451	2348	3025	5975	3	1	48	30	2	1	2	2	2	2	2	2	2	1	2	2	2	6
997	3	12	1	2	1	68	2	1237	1448	1448	1600	2056	2267	3	1	48	12	1	1	2	2	2	2	2	2	2	1	2	2	2	9
998	3	12	2	2	1	59	1	3789	5661	5661	2686	4004	5876	3	1	58	33	2	5	2	1	2	2	2	2	1	2	2	2	2	7
999	3	12	1	2	1	25	1	2383	3910	3910	1531	2317	3844	3	1	56	20	1	1	2	1	2	2	2	2	1	2	2	2	2	5
1000	3	12	3	2	1	56	2	5611	9718	10218	11704	13025	17132	3	1	50	35	1	1	2	2	2	2	2	2	1	2	2	2	2	8
1001	3	12	2	2	1	31	1	1733	3606	3606	1851	2037	3930	4	1	45	20	1	4	2	2	2	2	2	2	2	1	2	2	2	5
1002	3	12	1	2	1	72	2	1795	3320	3320	1754	2345	3870	3	1	63	37	2	1	2	2	2	2	2	2	2	1	2	2	2	8
1003	3	12	1	2	1	76	2	1666	2184	2184	2182	2222	2740	3	1	48	22	1	1	2	2	2	2	2	2	2	1	2	2	2	9
1004	3	12	3	1	2	37	1	3164	5906	7506	15182	16437	19279	4	2	28	14	1	6	2	2	2	2	2	2	2	2	2	2	2	6
1005	3	12	2	2	1	66	1	3349	4181	4181	5942	6283	7115	3	1	36	18	3	2	2	2	2	2	2	2	2	2	2	2	2	6
1006	3	12	2	2	1	63	1	2944	3719	3891	3895	4415	5280	3	1	58	36	3	4	2	2	2	2	2	2	2	2	2	2	2	7
1007	3	12	4	2	3	48	1	7068	9231	9231	7434	8744	10907	3	1	55	40	4	4	2	2	2	2	2	2	2	2	2	2	2	6
1008	3	12	2	2	1	61	1	3263	4871	4871	4487	4637	6245	3	2	40	37	2	4	2	2	2	2	2	2	2	2	2	2	2	7
1009	3	12	2	2	1	62	2	2921	4334	4934	4514	5270	6883	3	1	43	34	3	3	2	2	2	2	2	2	2	2	2	2	2	7
1010	3	12	1	2	1	58	2	3917	6365	7145	2384	3761	6209	3	1	59	31	3	4	2	1	1	1	2	2	1	2	2	2	1	1
1011	3	12	2	2	1	76	2	2904	4735	4735	1875	2134	3965	3	1	57	40	3	4	2	1	2	2	2	2	1	2	2	2	1	6
1012	3	12	2	2	1	75	1	3373	4562	4562	3137	3372	4562	3	1	49	30	2	2	2	2	2	2	2	2	2	1	2	2	1	5
1013	3	12	1	2	1	62	2	1408	1868	1868	2442	2909	3369	4	1	28	14	1	1	2	2	2	2	2	2	2	2	2	2	2	7
1014	3	12	2	2	1	61	1	5040	6971	6971	7486	8626	10557	3	1	63	40	4	3	2	1	1	1	2	1	1	2	2	2	1	8
1015	3	12	3	1	2	39	1	4910	5591	5841	4729	5060	6291	5	1	1	37	1	4	1	2	1	1	2	2	2	1	2	2	2	6
1016	3	12	1	2	1	82	2	2048	2709	2709	1386	1508	2169	3	1	50	38	4	2	2	2	2	2	2	2	2	2	2	2	2	8
1017	3	12	2	2	1	67	1	4466	5247	5547	6038	8515	9596	3	1	47	30	3	3	2	1	2	2	2	2	1	2	2	2	2	7
1018	3	12	4	1	1	71	2	2940	3781	3861	5106	5502	6423	3	2	70	31	3	4	2	1	2	2	2	2	1	2	2	2	2	7
1019	3	12	5	1	2	46	1	6235	10814	10814	7419	7707	12285	3	2	70	37	3	4	2	1	2	2	2	2	1	2	2	2	2	5
1020	3	12	4	1	2	63	2	6003	8031	8781	4171	4775	7553	3	1	56	31	4	4	2	1	2	2	2	2	1	2	2	2	2	7
1021	3	12	3	2	3	49	2	4468	6613	6913	3312	3412	5857	3	1	64	52	5	5	2	1	1	2	2	1	1	2	2	2	2	1
1022	3	12	3	2	1	66	1	6153	10754	11754	6023	6883	12483	3	1	96	80	7	5	2	1	1	1	2	1	1	2	2	1	1	6
1023	3	12	1	2	1	75	2	1497	2819	2819	1174	1244	2567	3	1	45	34	3	1	2	2	1	2	2	2	2	1	2	2	2	8
1024	3	12	1	2	1	78	2	2002	3625	3625	1344	1804	3427	3	4	65	50	3	1	2	2	1	2	2	2	2	1	2	2	2	8
1025	3	12	4	2	1	72	2	4563	8084	8584	3293	3574	7095	3	1	60	50	5	1	2	1	1	2	2	2	1	2	2	2	2	8
1026	3	12	3	1	2	39	2	2181	4032	4132	2338	2378	4329	3	1	65	55	4	1	2	2	1	2	2	2	2	1	2	2	2	6
1027	3	12	4	2	3	44	1	4330	9739	11539	5365	5780	12389	3	1	75	65	6	6	2	1	1	2	2	2	1	2	2	2	1	7
1028	3	12	3	1	1	42	1	3104	7107	7857	3327	3599	8252	3	1	44	34	2	1	2	2	2	2	2	2	2	2	2	2	1	6
1029	3	12	3	2	2	44	2	5864	9635	10235	3839	4446	8518	3	1	80	70	5	5	2	1	1	1	2	1	1	2	2	1	2	6
1030	3	12	1	2	1	81	2	1261	2906	2906	1319	1399	3043	3	1	45	30	2	1	2	1	1	2	2	2	1	2	2	2	2	8
1031	3	12	1	2	1	69	2	1328	2540	2540	962	1002	2214	3	1	45	35	2	1	2	2	1	2	2	2	2	2	2	2	2	8
1032	3	12	1	2	1	65	2	4034	6035	6105	1436	2058	4128	3	1	45	40	3	1	2	1	1	2	2	2	1	2	2	2	2	8
1033	3	12	1	2	1	29	1	1673	2980	2980	1828	1863	3251	3	1	45	40	3	1	2	1	1	2	2	2	1	2	2	2	2	6
1034	3	12	4	1	2	39	1	4643	7304	7504	3981	4321	7282	3	1	60	45	4	1	2	1	1	2	2	2	1	2	2	2	2	6
1035	3	12	1	2	1	74	2	1612	2631	2631	1150	1215	2234	3	1	30	21	2	2	2	2	1	2	2	2	2	1	2	2	2	5
1036	3	12	5	1	3	51	1	6414	10274	10424	2984	3351	7462	3	1	65	60	4	4	2	2	1	2	2	2	2	1	2	2	2	7
1037	3	12	1	2	1	40	1	1262	2060	2120	1976	2061	2920	3	1	35	30	3	1	2	2	1	2	2	2	2	1	2	2	2	7
1038	3	12	1	2	1	75	2	1564	2887	2887	965	1160	2483	3	1	67	20	1	1	2	2	2	2	2	2	2	1	2	2	2	7
1039	3	12	1	2	1	55	2	1820	4656	4656	2132	2748	5584	3	1	67	41	3	1	2	1	2	2	2	2	1	2	2	2	2	6
1040	3	12	3	2	1	52	2	4417	2634	2674	5662	10302	8560	3	1	49	17	1	1	2	2	2	2	2	2	2	2	2	2	2	8
1041	3	12	3	1	1	37	2	4190	6236	6236	4452	5439	7485	3	2	115	55	4	5	2	1	1	1	2	1	1	2	2	1	2	5
1042	3	12	2	2	1	74	1	4192	8316	8666	8568	9486	13960	3	1	82	69	6	1	2	1	1	2	2	2	1	2	2	2	2	7
1043	3	12	2	2	1	69	1	8269	11996	11996	3622	6951	10677	3	1	61	42	3	3	2	1	1	1	2	1	1	2	2	2	2	7
1044	3	12	4	1	1	40	1	5104	8457	8457	3730	5743	9096	3	1	78	43	3	2	2	1	1	2	2	2	1	2	2	2	2	7
1045	3	12	2	1	1	24	2	2589	3754	3754	2351	3101	4266	3	4	43	28	1	9	2	2	2	2	2	2	2	2	2	2	2	7
1046	3	12	3	1	1	35	1	11530	10328	10328	7772	12848	11646	3	1	109	49	4	5	2	1	1	1	2	2	1	2	2	1	1	1
1047	3	12	1	2	1	61	2	5276	8603	8603	2927	3954	7281	3	1	64	47	3	3	2	1	2	2	2	2	2	1	2	2	2	7
1048	3	12	1	2	1	70	1	1158	1828	1828	1061	1061	1731	3	1	80	31	1	1	2	2	2	2	2	2	2	2	2	2	2	9
1049	3	12	2	2	1	61	1	4370	6837	7187	4373	6159	8975	3	1	73	38	2	1	2	1	2	2	2	2	2	1	2	2	2	1
1050	3	12	2	1	1	42	2	1535	2522	2522	1278	1345	2332	3	1	61	41	2	2	2	1	2	2	2	2	1	2	2	2	2	7
1051	3	12	4	1	2	53	2	3575	4788	4788	3179	3568	4780	3	1	91	45	3	3	2	1	1	1	2	2	1	2	2	1	2	4
1052	3	12	4	1	2	33	1	8171	12838	12838	6158	7750	12718	3	1	130	68	4	6	2	1	2	2	2	2	1	2	2	2	2	4
1053	3	12	2	2	1	77	2	2363	3870	3870	1635	1835	3342	3	1	31	11	1	1	2	2	2	2	2	2	2	2	2	2	2	8
1054	3	12	1	2	1	67	2	1622	3200	3200	1202	1253	2830	3	1	64	45	2	4	2	2	2	2	2	2	2	2	2	2	2	8
1055	3	12	2	2	1	61	2	8669	11175	11175	4553	6698	9204	3	1	64	48	2	1	2	2	2	2	2	2	2	1	2	2	2	4
1056	1	14	3	1	2	38	2	5485	5669	5669	8169	8269	8453	1	3	30	19	1	3	1	2	1	1	2	1	1	2	2	1	1	6
1057	1	14	2	2	2	55	2	7004	7066	7666	13961	14041	14603	1	1	48	30	2	5	1	2	1	1	1	2	1	2	2	1	1	1
1058	1	14	1	2	1	66	2	2159	2602	2602	2804	2834	3277	1	1	46	30	2	5	1	2	1	1	1	2	1	2	2	1	2	7
1059	1	14	1	2	1	70	2	1767	2631	2631	3552	3552	4416	1	1	29	15	1	5	1	2	1	1	1	2	1	2	2	1	2	7
1060	1	14	2	2	2	39	2	3787	4637	4637	5554	5554	6405	1	1	64	42	3	5	1	2	1	1	1	2	1	2	2	1	2	5
1061	1	14	1	2	1	59	1	5365	5365	5365	5227	5927	5927	1	2	48	29	2	5	1	2	1	1	1	2	1	2	2	1	1	1
1062	1	14	2	2	1	72	1	3606	4356	4356	4822	4822	5573	3	1	70	45	4	2	2	1	1	1	2	2	1	2	2	1	1	5
1063	1	14	4	1	2	60	2	6018	8175	8175	4947	4983	7141	1	1	53	35	3	4	1	2	1	1	2	1	1	2	2	1	1	6
1064	1	14	5	1	1	52	2	5537	7237	8237	5698	6103	8803	1	2	65	42	3	4	1	2	1	1	1	2	1	2	2	1	2	6
1065	1	14	3	2	2	46	2	8166	9000	9000	7458	7648	8482	1	1	54	30	2	4	1	2	1	1	1	2	1	2	2	1	2	6
1066	1	14	2	2	1	53	1	2940	3613	3613	7952	7982	8655	1	1	30	18	1	4	1	2	1	1	1	2	1	2	2	1	2	4
1067	1	14	2	2	2	53	2	5367	5863	5863	11488	11736	12231	1	1	30	18	1	3	1	2	1	1	2	1	1	2	2	1	2	6
1068	1	14	2	2	1	62	2	3548	6623	6623	4354	4522	7597	1	1	43	26	2	3	1	2	1	1	2	1	1	2	2	1	2	6
1069	1	14	3	2	3	53	2	8094	9830	9830	11533	11841	13577	1	2	65	45	3	5	1	2	1	1	1	2	1	2	2	1	2	5
1070	1	14	2	2	2	62	2	3804	3863	3923	4949	5516	5764	1	1	65	45	3	5	1	2	1	1	1	2	1	2	2	1	2	6
1071	1	14	3	1	1	44	2	4178	5297	5297	5731	5731	6850	1	2	45	26	2	3	1	2	1	1	2	1	1	2	2	1	2	6
1072	1	14	3	2	1	43	2	10129	11062	11062	13571	13852	14785	1	1	52	32	2	5	1	2	1	1	1	2	1	2	2	1	2	1
1073	1	14	3	1	1	39	2	3000	3272	3272	4485	4555	4826	1	1	54	29	2	5	1	2	1	1	1	2	1	2	2	1	2	5
1074	1	14	3	1	1	24	1	6700	6831	7031	6228	6528	6659	1	2	59	34	3	3	1	2	1	1	2	1	1	2	2	1	1	5
1075	1	14	1	2	1	75	2	1305	1616	1706	2132	2132	2483	1	2	30	18	1	3	1	2	1	1	2	1	1	2	2	1	1	8
1076	1	14	2	2	2	43	2	2452	2590	2590	2502	2502	2639	1	2	41	28	2	3	1	2	1	1	2	1	1	2	2	1	2	6
1077	1	14	2	2	1	65	2	3311	4145	4485	4386	4686	5619	1	1	58	42	3	3	1	2	1	1	2	1	1	2	2	1	1	7
1078	1	14	2	2	1	60	2	6151	6236	6236	6440	6470	6555	1	1	45	27	2	3	1	2	1	1	2	1	1	2	2	1	1	1
1079	1	14	3	1	1	41	2	5924	6161	6161	8110	8143	8380	1	1	56	43	3	3	1	2	1	1	2	1	1	2	2	1	1	5
1080	1	14	4	1	1	36	1	5083	5212	5212	4296	4296	4425	1	1	40	29	2	3	1	2	1	1	2	1	1	2	2	1	2	4
1081	1	14	1	2	1	39	1	7476	7493	7493	5494	8646	8663	1	1	30	19	1	3	1	2	1	1	2	1	1	2	2	1	1	4
1082	1	14	3	1	2	31	1	11638	12292	12892	11192	11362	12615	1	1	40	27	2	4	1	2	1	1	2	1	1	2	2	1	1	5
1083	1	14	1	2	1	76	2	2111	2598	2598	2238	2568	3055	1	1	42	26	2	3	1	2	1	1	2	1	1	2	2	1	1	8
1084	1	14	2	2	1	62	2	2286	2335	2335	4794	4824	4873	1	1	45	30	2	4	1	2	1	1	1	2	1	2	2	1	1	5
1085	1	14	4	2	1	19	2	14029	15282	15282	19430	19430	20684	1	1	38	27	2	1	2	1	1	2	2	2	2	2	2	2	2	7
1086	1	14	2	1	1	46	2	1481	2013	2013	2108	2228	2760	3	1	32	22	2	2	2	1	2	2	2	2	2	2	2	2	2	5
1087	1	14	4	2	3	25	2	10408	10610	10610	13195	13987	14188	1	2	66	48	3	4	1	2	1	1	1	2	1	2	2	1	1	1
1088	1	14	3	2	2	53	2	6877	6877	6877	5969	5969	5969	1	1	66	44	3	4	1	2	1	1	1	2	1	2	2	1	1	6
1089	1	14	2	1	1	35	2	4777	4777	4777	7986	8436	8436	1	1	47	27	2	4	1	2	1	1	1	2	2	2	1	1	2	5
1090	1	14	7	1	2	42	2	6845	8794	8794	10902	11117	13067	5	1	1	60	4	5	1	2	1	1	1	2	2	2	1	1	2	5
1091	1	14	2	2	1	73	2	2676	3415	3415	3371	3449	4189	4	1	39	24	2	2	2	2	1	2	2	2	2	2	2	2	2	7
1092	1	14	3	1	2	39	2	7891	7899	7899	10468	11579	11588	5	1	1	12	1	5	1	2	1	1	1	2	2	2	1	1	2	7
1093	1	14	3	1	2	45	2	3665	3665	3665	6148	6168	6168	1	1	66	48	3	4	1	2	1	1	1	2	1	2	2	1	1	5
1094	1	14	3	1	2	61	2	5916	5916	5916	7723	7733	7733	1	1	67	44	3	4	1	2	1	1	1	2	1	2	2	1	1	5
1095	1	14	3	2	3	44	2	9321	9321	9321	12791	12831	12831	1	2	69	46	2	4	1	2	1	1	1	2	1	2	2	1	2	1
1096	1	14	2	2	1	67	2	6214	6214	6214	5210	5210	5210	1	1	66	44	3	5	1	2	1	1	1	2	1	2	2	1	2	4
1097	1	14	4	1	1	61	2	3531	5146	5146	12002	12019	13634	1	1	66	48	3	5	1	2	1	1	1	2	1	2	2	1	1	6
1098	1	14	3	2	1	68	2	2484	2544	2544	2166	2166	2226	1	2	49	32	2	5	2	1	1	2	2	2	2	2	2	2	2	10
1099	1	14	3	2	2	21	2	2297	2410	2410	4941	4941	5054	4	1	40	16	1	2	2	1	1	2	2	2	2	2	2	2	2	7
1100	1	14	2	2	2	50	1	4930	5908	6208	8652	8782	9760	1	1	57	37	3	5	1	2	1	1	1	2	1	2	2	1	1	5
1101	1	14	2	2	1	57	2	2635	2958	2958	4701	4701	5024	3	1	96	75	4	5	2	1	1	1	2	2	2	2	2	2	2	6
1102	1	14	6	1	3	75	2	7737	8143	8143	8414	8414	8820	3	1	63	51	4	5	2	1	1	1	2	2	2	2	2	2	2	8
1103	1	14	2	2	1	67	2	3404	3423	3423	4600	4600	4618	3	1	50	30	3	4	2	1	1	1	2	2	2	2	2	2	2	7
1104	1	14	1	2	1	76	1	2658	3006	3006	2617	3017	3365	1	2	40	29	2	1	1	2	1	1	2	2	2	2	2	2	2	7
1105	1	14	1	2	1	71	2	1463	1856	1856	2334	2334	2727	1	1	35	15	1	2	1	2	1	1	1	2	1	2	2	1	2	1
1106	1	14	1	2	1	69	2	1214	1330	1330	3270	3270	3386	1	1	41	26	2	1	1	2	1	1	2	2	2	2	2	1	1	5
1107	1	14	2	2	2	29	1	4840	5356	5356	5240	5279	5795	3	2	49	39	3	1	2	1	1	1	2	2	2	2	2	1	2	5
1108	1	14	1	2	1	62	2	830	931	931	1297	1298	1399	3	1	80	65	4	4	2	1	1	1	2	2	2	2	2	2	2	7
1109	1	14	7	1	2	47	1	8044	10378	10378	11753	11850	14185	1	2	46	27	2	2	1	2	1	1	2	2	2	2	2	1	2	5
1110	1	14	3	2	2	25	2	24870	25604	25604	33552	34606	35340	1	1	44	24	2	3	1	2	1	1	2	1	1	2	2	1	2	5
1111	1	14	1	2	1	70	2	1598	2010	2010	1999	1999	2411	1	1	41	27	2	3	1	2	1	1	2	1	1	2	2	1	1	5
1112	1	14	2	1	1	53	2	62166	64624	74624	17920	19136	21593	1	1	68	44	3	4	1	2	1	1	1	2	1	2	2	1	1	1
1113	1	14	2	2	1	62	2	10520	11711	11711	12016	13194	14385	1	1	68	44	3	4	1	2	1	1	1	2	1	2	2	1	2	1
1114	1	14	2	2	1	62	2	6425	6591	6591	4980	5400	5566	1	1	47	29	2	4	1	2	1	1	1	2	1	2	2	1	1	1
1115	1	14	2	2	1	55	2	5701	6226	6226	5779	6359	6884	1	1	64	45	3	4	1	2	1	1	1	2	1	2	2	1	1	5
1116	1	14	2	2	1	65	2	2694	3192	3192	5009	5009	5507	1	1	45	26	2	3	1	2	1	1	2	1	1	2	2	1	1	7
1117	1	14	2	2	1	80	1	2093	2608	2608	1997	2047	2562	1	1	30	17	1	3	1	2	1	1	2	1	1	2	2	1	2	8
1118	1	14	4	1	2	22	2	7874	7979	7979	8801	8971	9076	1	2	53	35	3	3	1	2	1	1	2	1	1	2	2	1	2	6
1119	1	14	1	2	1	63	1	2888	2888	3038	4568	4743	4743	1	2	49	37	2	3	1	2	1	1	2	1	1	2	2	1	1	1
1120	1	14	4	1	3	46	2	4845	4852	4852	7212	7245	7252	1	1	38	26	2	3	2	1	2	2	2	2	2	2	2	2	2	6
1121	1	14	4	1	1	49	1	4472	4621	4821	4518	4518	4667	4	1	52	40	4	3	2	1	1	1	2	2	2	2	2	2	1	5
1122	1	14	3	1	1	35	2	3149	3149	3149	3281	3281	3281	1	1	25	18	2	4	2	1	1	1	2	2	2	2	2	2	2	3
1123	1	14	3	1	2	34	1	5811	5811	5911	7295	7302	7302	1	1	46	32	2	5	1	2	1	1	1	2	1	2	2	1	1	1
1124	1	14	1	2	1	38	2	1988	1988	1988	5421	5421	5421	1	1	27	20	1	4	1	2	1	1	1	2	1	2	2	1	2	5
1125	1	14	2	2	1	62	2	7439	10397	10397	9646	10001	12960	1	1	61	36	3	4	1	2	1	1	1	2	1	2	2	1	1	1
1126	1	14	4	1	2	55	2	4969	5084	5084	8073	8103	8218	1	1	72	47	3	4	1	2	1	1	1	2	1	2	2	1	1	1
1127	1	14	4	2	3	49	1	19303	19437	23037	19788	20588	20722	1	1	72	51	3	4	1	2	1	1	1	2	1	2	2	1	1	1
1128	1	14	2	2	1	67	1	4260	4297	4297	4859	4859	4895	1	1	47	35	2	4	1	2	1	1	1	2	1	2	2	1	1	6
1129	1	14	2	2	1	30	1	3747	4817	4817	7782	7859	8929	1	1	62	38	3	4	1	2	1	1	1	2	1	2	2	1	1	1
1130	1	14	1	2	1	69	2	1293	1557	1557	3617	3617	3881	3	1	49	29	2	3	1	2	1	1	2	1	1	2	2	1	1	5
1131	1	14	1	2	1	61	2	6724	7598	7598	6793	6835	7709	1	2	64	39	3	1	2	1	1	1	2	1	1	2	2	1	1	5
1132	1	14	1	2	1	64	1	1067	1304	1304	1360	1360	1597	1	2	20	14	1	1	2	1	2	2	2	2	2	2	2	2	2	7
1133	1	14	3	1	2	34	2	9236	9409	9409	5263	6078	6250	3	1	34	18	2	4	2	1	1	1	2	2	1	2	2	1	2	5
1134	1	14	2	2	1	66	2	2057	2308	2308	3627	3629	3881	3	1	65	42	3	1	2	1	1	1	2	1	1	2	2	1	2	5
1135	1	14	1	2	1	55	1	1750	1750	1750	1027	1027	1227	1	1	49	31	2	2	1	2	1	1	2	1	1	2	2	1	1	6
1136	1	14	2	2	2	51	2	5931	6046	6046	3703	4173	4788	1	2	18	13	1	1	2	1	2	2	2	2	2	1	2	2	2	1
1137	1	14	2	2	1	74	2	5295	6521	6571	12041	12291	13566	1	1	65	46	3	1	1	2	1	1	2	1	1	2	2	1	1	1
1138	1	14	1	2	1	74	2	1808	1891	1891	2409	2588	2671	3	1	65	41	2	1	2	1	1	1	2	1	1	2	2	1	2	7
1139	1	14	2	1	1	62	2	2960	3511	3511	9487	9501	10052	3	1	98	80	3	5	2	1	1	1	2	2	1	2	2	1	1	5
1140	1	14	3	1	2	27	2	5343	5526	5526	6154	6154	6337	1	1	42	22	2	1	1	2	1	1	2	1	1	2	2	1	2	6
1141	1	14	2	2	1	72	2	2989	3580	3580	5049	5049	5640	1	1	43	27	2	1	1	2	1	1	2	1	1	2	2	1	2	7
1142	1	14	2	2	1	59	1	6421	6421	6421	8792	8837	8837	1	1	48	26	2	2	1	2	1	1	2	1	1	2	2	1	1	5
1143	1	14	2	2	1	62	1	3342	3535	3535	5947	5947	6141	1	1	53	38	3	1	1	2	1	1	2	1	1	2	2	1	1	6
1144	1	14	1	2	1	74	2	1385	1859	1859	2998	2998	3473	1	1	26	18	1	3	1	2	1	1	2	1	1	2	2	1	2	8
1145	1	14	2	2	1	56	2	3891	4092	4092	3841	3841	4042	1	1	46	31	2	1	1	2	1	1	2	1	1	2	2	1	2	5
1146	1	14	3	1	1	65	2	3642	4464	4464	4725	4731	5553	1	1	93	73	4	2	2	1	1	1	2	1	1	2	2	1	2	4
1147	1	14	1	2	1	62	2	895	1002	1002	1074	1074	1181	1	2	42	26	2	1	1	2	1	1	2	1	1	2	2	1	2	7
1148	1	14	1	2	1	84	2	1524	2272	2272	2531	2531	3279	1	1	48	26	2	2	1	2	1	1	2	1	1	2	2	1	2	5
1149	1	14	1	2	1	73	2	1894	1961	1961	2406	2406	2473	3	1	63	40	3	2	2	1	1	1	2	1	1	2	2	1	2	8
1150	1	14	2	2	1	63	1	3994	3994	3994	6376	6666	6666	1	1	48	26	2	3	1	2	1	1	2	1	1	2	2	1	1	7
1151	1	14	1	2	1	57	1	2417	3007	3007	4201	4201	4791	1	1	64	48	3	4	1	2	1	1	1	2	1	2	2	1	1	1
1152	1	14	5	2	3	78	2	14527	14766	14766	9567	9567	9806	1	1	47	30	2	4	1	2	1	1	1	2	1	2	2	1	1	4
1153	1	14	2	2	1	39	2	6540	7476	7476	9391	9391	10327	1	1	49	31	2	4	1	2	1	1	1	2	1	2	2	1	1	1
1154	1	14	2	2	1	66	2	2222	3010	3010	2192	2257	3045	1	1	49	30	2	4	1	2	1	1	1	2	1	2	2	1	2	5
1155	1	14	4	2	2	77	2	8880	10283	11708	10869	11264	12667	1	2	56	35	3	4	1	2	1	1	1	2	1	2	2	1	1	7
1156	1	14	1	2	1	54	2	1927	1973	1973	3607	3607	3653	1	1	29	18	1	4	1	2	1	1	1	2	1	2	2	1	2	6
1157	1	14	2	2	1	64	1	3370	3370	3370	3639	3689	3689	1	2	24	12	1	4	1	2	1	1	1	2	1	2	2	1	2	6
1158	1	14	5	1	1	44	2	3658	4233	4233	5815	5815	6391	3	1	42	36	2	1	2	1	1	2	2	2	1	2	2	2	2	5
